,id,text,labels,mult_model,rus_ner_model,roberta_large,spacy,gpt,gpt4
0,2201,"Вечер поэта Томаса Венцлова (США). Презентация книги ""Гранёный воздух"" М.: ОГИ, 2002.","[[12, 27, 'PERSON']]","[(12, 28, 'PERSON'), (29, 32, 'GPE'), (53, 71, 'WORK_OF_ART'), (75, 78, 'ORG'), (80, 84, 'DATE')]","[(12, 28, 'PER')]","[[12, 27, 'PER'], [71, 72, 'LOC'], [75, 78, 'ORG']]","[[12, 27, 'PER'], [29, 32, 'LOC']]","[(12, 27, 'PERSON')]","[(12, 27, 'PERSON')]"
1,2202,"Лекция Александра Степанова «Genius loci. Смысл образа» [нг, регистрация https://newholland.timepad.ru/event/727346/]","[[7, 27, 'PERSON']]","[(7, 28, 'PERSON'), (28, 54, 'WORK_OF_ART')]","[(7, 28, 'PER')]","[[7, 27, 'PER']]","[[7, 27, 'PER']]","[(7, 27, 'PERSON')]","[(7, 27, 'PERSON')]"
2,3134,"В магазине книг «Фаренгейт 451» писатель Роман Сенчин (Москва), автор романов «Елтышевы», «Лёд под ногами», «Минус» и многих других, расскажет о своей новой книге «Зона затопления» о строительстве Богучанской ГЭС. [соб. инф.]","[[41, 53, 'PERSON']]","[(17, 30, 'WORK_OF_ART'), (41, 54, 'PERSON'), (55, 61, 'GPE'), (79, 88, 'WORK_OF_ART'), (91, 106, 'WORK_OF_ART'), (109, 116, 'WORK_OF_ART'), (163, 181, 'WORK_OF_ART'), (197, 214, 'FAC')]","[(41, 54, 'PER'), (197, 214, 'ORG')]","[[41, 53, 'PER'], [55, 61, 'LOC'], [197, 212, 'ORG']]","[[41, 53, 'PER'], [55, 61, 'LOC'], [79, 87, 'PER'], [197, 212, 'LOC']]","[(41, 53, 'PERSON')]","[(41, 53, 'PERSON')]"
3,3135,Настройки / Settings. Александр Ильянен (лекция). Сергей Соколовский (чтение). [серия],"[[50, 68, 'PERSON'], [22, 39, 'PERSON']]","[(22, 40, 'PERSON'), (50, 69, 'PERSON')]","[(22, 40, 'PER'), (50, 69, 'PER')]","[[22, 39, 'PER'], [50, 68, 'PER']]","[[22, 39, 'PER'], [50, 68, 'PER']]","[(22, 39, 'PERSON'), (50, 68, 'PERSON')]","[(22, 39, 'PERSON'), (50, 68, 'PERSON')]"
4,2203,"21 марта во Всемирный День Поэзии состоится Театрально-Поэтическая Дуэль. Молодые актёры выйдут на сцену против современных авторов. Вечный конфликт поколений предстанет перед зрителем в самой острой его форме. Классика или современность. Могут ли современные литераторы затронуть струны души зрителя? Смогут ли молодые актёры вдохнуть новые смыслы в классические тексты? Решать будет зритель. Наш проект призван возродить традицию поэтических чтений. Мы за то, чтобы прекрасный русский язык был доступен каждому, кто является частью нашей богатой культуры. Правила дуэли или дуэльный кодекс: поединок между двумя командами авторов и актёров, цель которого — завоевать зрителя словом, подачей, энергией, искренностью, соблюдая заранее оговоренные рамки поединка (3 раунда по 30 мин). Дуэли проходят в отапливаемых просторных помещениях, предраспоженных к приятному времяпрепровождению. Наблюдать за дуэлью может каждый. Наши дуэли законом не запрещены.  Программа:19:00 - встреча гостей 19:30 - приветствие гостей и участников вечера 20:00 - 20:30 - ПЕРВЫЙ раунд 20:30 - 21:00 ВТОРОЙ раунд 21:00 - 21:30 - ТРЕТИЙ раунд 21:30 - голосование и вручение призов 22:00 - сольные выступления. [зис]",[],"[(0, 9, 'DATE'), (12, 34, 'EVENT'), (44, 74, 'EVENT'), (479, 487, 'LANGUAGE'), (608, 614, 'CARDINAL'), (763, 765, 'CARDINAL'), (775, 781, 'TIME'), (987, 993, 'TIME'), (1034, 1040, 'TIME'), (1042, 1048, 'TIME'), (1063, 1069, 'TIME'), (1071, 1077, 'TIME'), (1090, 1096, 'TIME'), (1098, 1104, 'TIME'), (1119, 1125, 'TIME'), (1157, 1163, 'TIME')]",[],"[[0, 8, 'ORG'], [12, 33, 'ORG'], [44, 584, 'ORG']]","[[0, 8, 'DATE'], [44, 66, 'LOC'], [67, 72, 'LOC'], [1077, 1083, 'ORG']]","[(44, 72, 'PERSON')]",[]
5,2204,"Встреча с историком Баиром Иринчеевым. Презентация фотоальбома «Битва за Ленинград. Мы погибли, чтобы жили вы», а также книг «Лужский рубеж: хроника героических дней» и «Схватка на острие ножа или забытое сражение у острова Соммерс». Фотоальбом «Битва за Ленинград. Мы погибли, чтобы жили вы» из серии «Забытые кадры» - это 300 редких фотографий битвы за Ленинград из Санкт-Петербургского центрального архива кинофонофотодокументов, Российского центрального архива кинофотодокументов, а также частных немецких архивов. В книге «Лужский рубеж. Хроника героических дней» Илья Хомяков прекрасно восполняет досадный пробел, связанный с историей Лужского рубежа, сыгравшего крайне важную роль в битве за Ленинград. Впервые подробно описываются бои за плацдармы, прорыв Лужского рубежа, выход из окружения Лужской оперативной группы. Книга – замечательный памятник тем, кто сражался на Лужском рубеже в 1941 году, и предназначена всем интересующимся историей битвы за Ленинград. Книга «Схватка на острие ножа или забытое сражение у острова Соммерс» посвящена первому масштабному воздушно-морскому сражению Советского флота в Великой Отечественной войне. Сражению проигранному и забытому. Но поражение вовсе не означает бесславия. Даже наши бывшие враги, уже в мирное время неоднократно признавали мужество, стойкость и выучку наших воинов. [буквоед]","[[20, 37, 'PERSON'], [569, 581, 'PERSON']]","[(20, 39, 'PERSON'), (64, 110, 'WORK_OF_ART'), (126, 165, 'WORK_OF_ART'), (170, 232, 'WORK_OF_ART'), (246, 293, 'WORK_OF_ART'), (303, 318, 'WORK_OF_ART'), (324, 328, 'CARDINAL'), (346, 365, 'EVENT'), (368, 373, 'ORG'), (373, 409, 'ORG'), (433, 465, 'ORG'), (501, 510, 'NORP'), (528, 567, 'WORK_OF_ART'), (569, 582, 'PERSON'), (641, 656, 'LOC'), (690, 696, 'EVENT'), (699, 710, 'GPE'), (764, 773, 'LOC'), (800, 808, 'NORP'), (880, 888, 'GPE'), (897, 906, 'DATE'), (953, 959, 'EVENT'), (962, 973, 'GPE'), (980, 1043, 'WORK_OF_ART'), (1053, 1061, 'ORDINAL'), (1100, 1111, 'NORP'), (1119, 1148, 'EVENT')]","[(20, 39, 'PER'), (368, 373, 'ORG'), (373, 374, 'ORG'), (374, 431, 'ORG'), (433, 483, 'ORG'), (569, 582, 'PER'), (641, 656, 'LOC'), (764, 779, 'LOC'), (800, 828, 'ORG'), (880, 895, 'LOC'), (1100, 1117, 'ORG')]","[[20, 37, 'PER'], [355, 364, 'ORG'], [368, 431, 'ORG'], [433, 483, 'ORG'], [569, 581, 'PER'], [641, 708, 'ORG'], [764, 779, 'ORG'], [800, 826, 'ORG'], [880, 1041, 'ORG'], [1100, 1116, 'ORG'], [1119, 1146, 'ORG']]","[[20, 37, 'PER'], [73, 82, 'LOC'], [224, 231, 'LOC'], [255, 264, 'LOC'], [355, 364, 'LOC'], [368, 431, 'LOC'], [433, 483, 'ORG'], [569, 581, 'PER'], [641, 656, 'LOC'], [699, 708, 'LOC'], [764, 779, 'LOC'], [800, 826, 'ORG'], [880, 894, 'LOC'], [897, 906, 'DATE'], [962, 971, 'LOC'], [1034, 1041, 'LOC']]","[(20, 37, 'PERSON'), (569, 581, 'PERSON')]","[(20, 37, 'PERSON'), (569, 581, 'PERSON')]"
6,2205,"Очередная встреча проекта «Открытая читка – юность» – литературный салон, где чтение вслух есть способ общения и творческого самовыражения отрока, тинэйджера, школьника – «Человека Читающего». Творческое объединение «Digital Chehov» в рамках проектов «Человек Читающий» и «Читающие дети» при поддержке «Открытой гостиной», издательств: «Питер», «Самокат», «Нигма», «Белая ворона» и портала «Литературно» открывает новый сезон «Открытой Читки – юность»! В этот день соберутся любители литературного чтения от 7 до 17 лет. Ребята будут читать вслух собственные сочинения и чужие произведения: проза или поэзия, «по листочку» или наизусть – выбор способа выражения остаётся за участниками. Главное – свободное объяснение со своими литературными предпочтениями. На «Читке» будем снимать видеоролики и фото для проекта «Человек Читающий». Завершится творческий вечер выбором трёх лучших чтецов: ребята получат подарки от издательств: «Питер», «Самокат», «Нигма», «Белая ворона». Все юные смельчаки гарантированно получат внимание и аплодисменты слушателей. «Открытая читка» – это не просто возможность особенным образом поделиться своими мыслями с окружающими, но и шанс найти неравнодушных к твоим интересам друзей. Читка – это способ литературной коммуникации – выход в оффлайн, возвращение к «бородатой» традиции чтения вслух перед аудиторией, которая сейчас опять становится востребованной. Куратор − Черток Анна [маяковка]","[[1400, 1411, 'PERSON']]","[(27, 50, 'WORK_OF_ART'), (172, 190, 'WORK_OF_ART'), (216, 217, 'ORG'), (217, 231, 'WORK_OF_ART'), (252, 268, 'WORK_OF_ART'), (273, 286, 'WORK_OF_ART'), (303, 321, 'ORG'), (336, 337, 'ORG'), (337, 343, 'ORG'), (346, 354, 'ORG'), (357, 363, 'ORG'), (366, 380, 'ORG'), (391, 404, 'ORG'), (427, 442, 'WORK_OF_ART'), (455, 465, 'DATE'), (508, 521, 'DATE'), (815, 832, 'WORK_OF_ART'), (870, 875, 'CARDINAL'), (930, 936, 'ORG'), (939, 947, 'ORG'), (950, 956, 'ORG'), (959, 971, 'ORG'), (1400, 1407, 'PERSON'), (1407, 1412, 'PERSON')]","[(217, 231, 'ORG'), (252, 268, 'ORG'), (273, 286, 'ORG'), (303, 320, 'ORG'), (366, 378, 'ORG'), (427, 442, 'ORG'), (815, 831, 'ORG'), (959, 971, 'ORG'), (1400, 1412, 'PER')]","[[336, 342, 'ORG'], [345, 353, 'ORG'], [356, 362, 'ORG'], [365, 379, 'ORG'], [390, 391, 'ORG'], [929, 935, 'ORG'], [938, 946, 'ORG'], [949, 955, 'ORG'], [958, 971, 'ORG'], [1400, 1411, 'PER']]","[[217, 231, 'ORG'], [303, 320, 'ORG'], [391, 402, 'ORG'], [427, 441, 'ORG'], [508, 519, 'DATE'], [762, 767, 'ORG'], [1400, 1411, 'PER']]","[(1400, 1411, 'PERSON')]","[(1400, 1411, 'PERSON')]"
7,2206,Поэтический вечер Вадима Пугача и Елены Литвинцевой. [куклы],"[[18, 31, 'PERSON'], [34, 51, 'PERSON']]","[(18, 32, 'PERSON'), (34, 53, 'PERSON')]","[(18, 32, 'PER'), (34, 53, 'PER')]","[[18, 31, 'PER'], [34, 52, 'PER']]","[[18, 31, 'PER'], [34, 51, 'PER']]","[(18, 31, 'PERSON'), (34, 51, 'PERSON')]","[(18, 31, 'PERSON'), (34, 51, 'PERSON')]"
8,2207,"Рома Бордунов встречается с подписчиками и читателями в магазине «Подписные издания». Поговорим о книге «Страна возможностей», о дурацких работах, интернете и блогерах. [подписные]","[[0, 13, 'PERSON']]","[(0, 14, 'PERSON'), (65, 84, 'ORG'), (104, 125, 'WORK_OF_ART')]","[(0, 14, 'PER'), (66, 83, 'ORG')]","[[0, 13, 'PER']]","[[0, 13, 'PER']]","[(0, 13, 'PERSON')]","[(0, 13, 'PERSON')]"
9,2208,РНБ и Союз писателей Республики Абхазия представляют ТВОРЧЕСКИЙ ВЕЧЕР ПОЭТЕССЫ Гунды САКАНИЯ Ведущая – писательница и журналист Екатерина БЕБИА. [рнб],"[[79, 92, 'PERSON'], [128, 143, 'PERSON']]","[(0, 4, 'ORG'), (6, 40, 'ORG'), (128, 145, 'PERSON')]","[(6, 21, 'ORG'), (21, 40, 'LOC'), (53, 79, 'ORG'), (79, 93, 'PER'), (128, 145, 'PER')]","[[6, 39, 'ORG'], [128, 143, 'PER']]","[[6, 20, 'ORG'], [21, 39, 'LOC'], [128, 143, 'PER']]","[(79, 92, 'PERSON'), (128, 143, 'PERSON')]","[(79, 92, 'PERSON'), (128, 143, 'PERSON')]"
